_id/$oid,_id_thi_sinh/$oid,ten_nganh,__v
616705ea43f8917a04cd5372,616705ea43f8917a04cd5371,Sư phạm toán học,0
6167062543f8917a04cd5376,6167062543f8917a04cd5375,Sư phạm toán học,0
6167066f43f8917a04cd537a,6167066f43f8917a04cd5379,Quản trị văn phòng,0
616706b543f8917a04cd537e,616706b543f8917a04cd537d,Quản trị văn phòng,0
616706f843f8917a04cd5382,616706f843f8917a04cd5381,Tiếng Anh,0
6167073243f8917a04cd5386,6167073243f8917a04cd5385,Tiếng Anh,0
6167076f43f8917a04cd538a,6167076f43f8917a04cd5389,Giáo dục tiểu học,0
616707a143f8917a04cd538e,616707a143f8917a04cd538d,Sư phạm Tiếng Anh,0
616707e243f8917a04cd5392,616707e243f8917a04cd5391,Ngôn ngữ Anh,0
6167081f43f8917a04cd5396,6167081f43f8917a04cd5395,Tiếng Anh,0
6167085b43f8917a04cd539a,6167085b43f8917a04cd5399,Quản trị dịch vụ du lịch và lữ hành,0
616708a843f8917a04cd539e,616708a843f8917a04cd539d,Quản trị dịch vụ du lịch và lữ hành,0
616708fe43f8917a04cd53a2,616708fe43f8917a04cd53a1,Tài chính - ngân hàng,0
6167095a43f8917a04cd53a6,6167095a43f8917a04cd53a5,Tiếng Anh,0
616709cb43f8917a04cd53aa,616709cb43f8917a04cd53a9,Kế toán,0
61670a0443f8917a04cd53ae,61670a0443f8917a04cd53ad,Công nghệ kỹ thuật môi trường,0
61670ae943f8917a04cd53b2,61670ae943f8917a04cd53b1,Dịch vụ pháp lý,0
61670bb543f8917a04cd53b7,61670bb543f8917a04cd53b6,Việt Nam học,0
61670c7f43f8917a04cd53bb,61670c7f43f8917a04cd53ba,Kinh doanh xuất nhập khẩu,0
61670cdb43f8917a04cd53bf,61670cdb43f8917a04cd53be,Dịch vụ pháp lý,0
61670d1843f8917a04cd53c3,61670d1843f8917a04cd53c2,Việt Nam học,0
61670e2d43f8917a04cd53c7,61670e2d43f8917a04cd53c6,Công nghệ kỹ thuật xây dựng,0
61670f0143f8917a04cd53cd,61670f0143f8917a04cd53cc,Quản trị kinh doanh,0
61670f3443f8917a04cd53d1,61670f3443f8917a04cd53d0,Tiếng Anh,0
61670faa43f8917a04cd53d5,61670faa43f8917a04cd53d4,Việt Nam học,0
61670ff843f8917a04cd53d9,61670ff843f8917a04cd53d8,Ngôn ngữ Anh,0
6167103843f8917a04cd53dd,6167103843f8917a04cd53dc,Quản trị văn phòng,0
6167108343f8917a04cd53e1,6167108343f8917a04cd53e0,Sư phạm Tiếng Anh,0
616710e043f8917a04cd53e5,616710e043f8917a04cd53e4,Sư phạm Tiếng Anh,0
6167113143f8917a04cd53e9,6167113143f8917a04cd53e8,Sư phạm Tiếng Anh,0
616713c036a4176baf36a687,616713c036a4176baf36a686,Dịch vụ pháp lý,0
61678f8c1c414fe1310cb05b,61678f8c1c414fe1310cb05a,Tiếng Anh,0
61678fdc1c414fe1310cb05f,61678fdb1c414fe1310cb05e,Kỹ thuật xây dựng,0
616790561c414fe1310cb063,616790561c414fe1310cb062,Quản trị dịch vụ du lịch và lữ hành,0
6167908b1c414fe1310cb067,6167908b1c414fe1310cb066,Sư phạm Toán,0
616790bb1c414fe1310cb06b,616790bb1c414fe1310cb06a,Công nghệ thông tin,0
616796361c414fe1310cb06f,616796361c414fe1310cb06e,Việt Nam học,0
616796841c414fe1310cb073,616796841c414fe1310cb072,Kinh doanh thương mại,0
6167d7a11c414fe1310cb077,6167d7a11c414fe1310cb076,Quản trị kinh doanh,0
6167d7f81c414fe1310cb07b,6167d7f81c414fe1310cb07a,Quản trị kinh doanh,0
61699ef1e0bd0187d1041f98,61699ef1e0bd0187d1041f97,Dịch vụ pháp lý,0
616ae387333889b6d2f111a7,616ae387333889b6d2f111a6,Marketing thương mại,0
616ae3e3333889b6d2f111ab,616ae3e3333889b6d2f111aa,Quản trị kinh doanh,0
616ae43f333889b6d2f111af,616ae43f333889b6d2f111ae,Quản trị kinh doanh,0
616ae484333889b6d2f111b3,616ae484333889b6d2f111b2,Quản trị kinh doanh,0
616ae4eb333889b6d2f111b7,616ae4eb333889b6d2f111b6,Sư phạm tiếng Anh,0
616ae52f333889b6d2f111bb,616ae52f333889b6d2f111ba,Quản trị kinh doanh,0
616ae6729f46b908e4a7c522,616ae6729f46b908e4a7c521,Dịch vụ pháp lý,0
